model,MSE,std_MSE
rf_scale,-17.40301590200612,6.398076777445097
gp_base,-18.81385207931398,7.977403344311883
gp_all,-19.22828071338663,8.00093066092259
gp_scale,-19.228280713386642,8.000930660922636
lin_base,-19.442571519872345,8.030470115251708
lin_scale,-19.45217794211416,8.036292119462003
svm_all,-19.579818787479955,8.782353304345156
svm_scale,-19.579818787479955,8.782353304345154
lin_all,-19.926194168874083,8.864135473613233
rf_all,-20.706700297895203,8.5270700519575
svm_base,-20.78215544022261,9.069333131906019
kr_all,-20.87708679281967,6.01737149625274
kr_scale,-20.877086792819675,6.017371496252738
d_scale,-20.891394182809087,8.58197239237248
rf_base,-21.28689654206132,8.047409012936422
kr_base,-21.360803544111082,7.675411511322727
d_all,-23.570479193433975,8.498283081252726
d_base,-24.56393938173061,11.02680572610378
